cve_concatenada,cve_rha,nom_rha,probabilidad,t_prob
21183,10,Golfo Centro,75.28161685,Alta
21184,10,Golfo Centro,56.47107135,Media
21185,4,Balsas,81.14,Muy Alta
21186,10,Golfo Centro,45.42539917,Media
21187,10,Golfo Centro,65.49635034,Alta
21188,4,Balsas,72.83,Alta
21189,4,Balsas,70.44,Alta
21190,4,Balsas,44.24,Media
21191,4,Balsas,69.37,Alta
21192,10,Golfo Centro,34.19873753,Baja
21193,4,Balsas,66.37,Alta
21194,10,Golfo Centro,52.41952947,Media
21195,10,Golfo Centro,92.61959201,Muy Alta
21196,4,Balsas,37.33,Baja
21197,10,Golfo Centro,30.67881598,Baja
21198,4,Balsas,87.82,Muy Alta
21199,10,Golfo Centro,46.8659464,Media
21200,10,Golfo Centro,67.54287514,Alta
21201,4,Balsas,60.71,Alta
21202,10,Golfo Centro,76.14312053,Alta
21203,4,Balsas,42.38,Media
21204,10,Golfo Centro,27.673905,Baja
21205,10,Golfo Centro,74.04459322,Alta
21206,4,Balsas,55.03,Media
21207,10,Golfo Centro,39.23863255,Baja
21208,10,Golfo Centro,29.63822996,Baja
21209,10,Golfo Centro,72.54771946,Alta
21210,10,Golfo Centro,35.18910004,Baja
21211,10,Golfo Centro,27.20175538,Baja
21212,10,Golfo Centro,77.562694,Alta
21213,10,Golfo Centro,61.47454312,Alta
21214,10,Golfo Centro,49.71448632,Media
21215,10,Golfo Centro,23.18558624,Baja
21216,10,Golfo Centro,81.08542694,Muy Alta
21217,10,Golfo Centro,93.02618504,Muy Alta
22001,9,Golfo Norte,98.80019833,Muy Alta
22002,9,Golfo Norte,68.93978877,Alta
22003,9,Golfo Norte,48.04254475,Media
22004,9,Golfo Norte,79.08840056,Alta
22005,9,Golfo Norte,94.20373476,Muy Alta
22006,8,Lerma Santiago Pacifico,24.13441213,Baja
22007,9,Golfo Norte,68.44572154,Alta
22008,8,Lerma Santiago Pacifico,71.18422772,Alta
22009,9,Golfo Norte,43.34454662,Media
22010,9,Golfo Norte,45.12278564,Media
22011,8,Lerma Santiago Pacifico,62.84225976,Alta
22012,9,Golfo Norte,86.45655258,Muy Alta
22013,9,Golfo Norte,56.1622006,Media
22014,8,Lerma Santiago Pacifico,18.37319668,Muy Baja
22015,9,Golfo Norte,61.91542252,Alta
22016,9,Golfo Norte,5.970021427,Muy Baja
22017,9,Golfo Norte,61.45403232,Alta
22018,9,Golfo Norte,73.7708555,Alta
23001,12,Peninsula de Yucatan,34.96993379,Baja
23002,12,Peninsula de Yucatan,67.05988447,Alta
23003,12,Peninsula de Yucatan,84.63953746,Muy Alta
23004,12,Peninsula de Yucatan,1.55107565,Muy Baja
23005,12,Peninsula de Yucatan,8.050553754,Muy Baja
23006,12,Peninsula de Yucatan,59.84450221,Media
23007,12,Peninsula de Yucatan,82.08619212,Muy Alta
23008,12,Peninsula de Yucatan,32.62605439,Baja
23009,12,Peninsula de Yucatan,78.91516403,Alta
23010,12,Peninsula de Yucatan,54.69388288,Media
23011,12,Peninsula de Yucatan,78.51032011,Alta
24001,7,Cuencas Centrales del Norte,96.11481361,Muy Alta
24002,9,Golfo Norte,74.27085228,Alta
24003,9,Golfo Norte,97.6669345,Muy Alta
24004,9,Golfo Norte,83.68043792,Muy Alta
24005,9,Golfo Norte,49.71637783,Media
24006,7,Cuencas Centrales del Norte,92.10311043,Muy Alta
24007,7,Cuencas Centrales del Norte,37.51677063,Baja
24008,9,Golfo Norte,65.32689119,Alta
24009,7,Cuencas Centrales del Norte,75.38690611,Alta
24010,9,Golfo Norte,64.0475483,Alta
24011,9,Golfo Norte,43.2734489,Media
24012,9,Golfo Norte,93.86352579,Muy Alta
24013,9,Golfo Norte,5.232871941,Muy Baja
24014,9,Golfo Norte,63.6581266,Alta
24015,7,Cuencas Centrales del Norte,92.8175631,Muy Alta
24016,9,Golfo Norte,9.852062773,Muy Baja
24017,7,Cuencas Centrales del Norte,99.04780868,Muy Alta
24018,9,Golfo Norte,82.51291315,Muy Alta
24019,9,Golfo Norte,75.64869277,Alta
24020,7,Cuencas Centrales del Norte,26.26969323,Baja
24021,7,Cuencas Centrales del Norte,94.14442728,Muy Alta
24022,7,Cuencas Centrales del Norte,91.5188593,Muy Alta
24023,9,Golfo Norte,73.07625504,Alta
24024,9,Golfo Norte,62.75023655,Alta
24025,7,Cuencas Centrales del Norte,82.69985477,Muy Alta
24026,9,Golfo Norte,72.86240817,Alta
24027,9,Golfo Norte,60.92542334,Alta
24028,7,Cuencas Centrales del Norte,4.516189701,Muy Baja
24029,9,Golfo Norte,92.60388852,Muy Alta
24030,9,Golfo Norte,68.90115465,Alta
24031,9,Golfo Norte,98.12300875,Muy Alta
24032,9,Golfo Norte,78.86857025,Alta
24033,7,Cuencas Centrales del Norte,93.02070309,Muy Alta
24034,9,Golfo Norte,60.77500879,Alta
24035,7,Cuencas Centrales del Norte,26.53005216,Baja
24036,9,Golfo Norte,76.69599738,Alta
24037,9,Golfo Norte,8.839184621,Muy Baja
24038,9,Golfo Norte,26.07845278,Baja
24039,9,Golfo Norte,77.17786914,Alta
24040,9,Golfo Norte,48.7842161,Media
24041,9,Golfo Norte,66.53974817,Alta
24042,9,Golfo Norte,52.86055519,Media
24043,9,Golfo Norte,96.21977683,Muy Alta
24044,7,Cuencas Centrales del Norte,71.26122274,Alta
24045,7,Cuencas Centrales del Norte,96.59988054,Muy Alta
24046,7,Cuencas Centrales del Norte,93.73352989,Muy Alta
24047,7,Cuencas Centrales del Norte,98.96431866,Muy Alta
24048,7,Cuencas Centrales del Norte,26.97547858,Baja
24049,7,Cuencas Centrales del Norte,86.69103431,Muy Alta
24050,7,Cuencas Centrales del Norte,88.57994241,Muy Alta
24051,7,Cuencas Centrales del Norte,87.40051221,Muy Alta
24052,9,Golfo Norte,71.65056291,Alta
24053,9,Golfo Norte,24.43808476,Baja
24054,9,Golfo Norte,52.21151793,Media
24055,9,Golfo Norte,82.3719061,Muy Alta
24056,7,Cuencas Centrales del Norte,80.8738763,Muy Alta
24057,9,Golfo Norte,28.99269458,Baja
24058,9,Golfo Norte,11.79781399,Muy Baja
25001,3,Pacifico Norte,33.37170393,Baja
25002,3,Pacifico Norte,50.85510936,Media
25003,3,Pacifico Norte,74.20824804,Alta
25004,3,Pacifico Norte,33.38967594,Baja
25005,3,Pacifico Norte,65.83247015,Alta
25006,3,Pacifico Norte,27.8029499,Baja
25007,3,Pacifico Norte,57.67440891,Media
25008,3,Pacifico Norte,40.30295265,Media
25009,3,Pacifico Norte,33.25636902,Baja
25010,3,Pacifico Norte,40.13631954,Media
25011,3,Pacifico Norte,31.77323531,Baja
25012,3,Pacifico Norte,11.60101134,Muy Baja
25013,3,Pacifico Norte,43.2268989,Media
25014,3,Pacifico Norte,39.61798196,Baja
25015,3,Pacifico Norte,30.37959674,Baja
25016,3,Pacifico Norte,29.35804619,Baja
25017,3,Pacifico Norte,33.80257266,Baja
25018,3,Pacifico Norte,38.14520642,Baja
26001,2,Noroeste,26.91754717,Baja
26002,2,Noroeste,46.4963362,Media
26003,2,Noroeste,66.44797024,Alta
26004,2,Noroeste,53.33306424,Media
26005,2,Noroeste,59.32567271,Media
26006,2,Noroeste,67.04139338,Alta
26007,2,Noroeste,65.40086896,Alta
26008,2,Noroeste,42.47635329,Media
26009,2,Noroeste,59.16430845,Media
26010,2,Noroeste,73.39179331,Alta
26011,2,Noroeste,44.16950439,Media
26012,2,Noroeste,75.21303216,Alta
26013,2,Noroeste,12.96602295,Muy Baja
26014,2,Noroeste,6.774036167,Muy Baja
26015,2,Noroeste,87.23384344,Muy Alta
26016,2,Noroeste,23.46527037,Baja
26017,2,Noroeste,57.496786,Media
26018,2,Noroeste,8.181315152,Muy Baja
26019,2,Noroeste,18.50780908,Muy Baja
26020,2,Noroeste,41.30696127,Media
26021,2,Noroeste,68.44977837,Alta
26022,2,Noroeste,64.9914449,Alta
26023,2,Noroeste,15.41747629,Muy Baja
26024,2,Noroeste,5.354899864,Muy Baja
26025,2,Noroeste,16.49550085,Muy Baja
26026,2,Noroeste,58.90281478,Media
26027,2,Noroeste,42.42885681,Media
26028,2,Noroeste,24.46299447,Baja
26029,2,Noroeste,24.10014883,Baja
26030,2,Noroeste,2.957516495,Muy Baja
26031,2,Noroeste,55.72542516,Media
26032,2,Noroeste,25.77672737,Baja
26033,2,Noroeste,35.64177075,Baja
26034,2,Noroeste,14.82084616,Muy Baja
26035,2,Noroeste,45.46369317,Media
26036,2,Noroeste,42.65422775,Media
26037,2,Noroeste,56.498068,Media
26038,2,Noroeste,17.66193912,Muy Baja
26039,2,Noroeste,55.36898966,Media
26040,2,Noroeste,76.81359605,Alta
26041,2,Noroeste,23.00215508,Baja
26042,2,Noroeste,37.58584785,Baja
